Ticker,Name,AssetClass,Industry,Market,Shares,AvgPrice,CurrentPrice,TotalCostEur,CurrentValueUsd,CurrentValueEur,ProfitEur,ProfitPct,DividendYieldPct,ExpectedReturnPct,Strategy,AiTrendRelevance,Notes
AMS:CNDX,iShares NASDAQ 100 UCITS ETF USD (Acc),ETF,Exchange-traded fund,XETRA / Euronext,50,807.40 €,1 442.40 €,40370.00,84089.76,72120.00,31750.00,78.65,0.0,11.5,Keep,Broad Tech Index,Accumulating ETF (zero dividend tax drag in PT). High beta exposure to top 100 US tech giants.
AMS:CSPX,iShares Core S&P 500 UCITS ETF USD (Acc),ETF,Exchange-traded fund,XETRA / Euronext,74,530.04 €,710.61 €,39223.31,61312.70,52585.14,13361.83,34.07,0.0,9.5,Buy,Broad Tech Index,Core foundational anchor. High quality US market exposure automatically reinvests dividends tax-free.
LON:IUIT,iShares S&P 500 Info Tech Sector UCITS ETF,ETF,Exchange-traded fund,XETRA / London,310,35.08 €,42.84 €,10875.97,15484.41,13280.28,2404.31,22.11,0.0,13.0,Buy,Direct Core AI,Pure-play S&P 500 Technology sector. Heavily weighted in Microsoft Apple and NVIDIA.
AMS:IWDA,iShares Core MSCI World UCITS ETF USD (Acc),ETF,Exchange-traded fund,Euronext Amsterdam,116,78.45 €,126.83 €,9099.77,17154.08,14712.28,5612.51,61.68,0.0,8.5,Keep,Broad Tech Index,Developed market global diversifier. High quality compounding anchor.
AMD,Advanced Micro Devices Inc,Stock,Semiconductors,NASDAQ,34,$71.20,$456.75,2076.07,15529.50,13318.88,11242.81,541.54,0.0,15.0,Keep,AI Infrastructure & Semis,Massive multi-bagger winner (+541%). Instinct MI300/MI400 AI GPU datacenter acceleration driver.
AAPL,Apple Inc,Stock,Information Technology,NASDAQ,37,$87.53,$310.34,2777.52,11482.58,9848.03,7070.51,254.56,0.5,10.0,Keep,Direct Core AI,Consumer edge AI distribution platform (Apple Intelligence) and extraordinary cash flow generation.
NVDA,NVIDIA Corp,Stock,Semiconductors,NASDAQ,48,$31.31,$208.48,1288.95,10007.04,8582.54,7293.59,565.86,0.05,18.0,Buy,AI Infrastructure & Semis,The undisputed dominant compute leader in AI accelerator architectures and CUDA software ecosystem.
MSFT,Microsoft Corp,Stock,Information Technology,NASDAQ,20,$246.66,$487.31,4231.04,9746.20,8358.83,4127.79,97.56,0.75,12.5,Buy,Direct Core AI,Azure cloud Copilot monetization OpenAI partnership enterprise software hegemony.
GOOGL,Alphabet Inc Class A,Stock,Communication Services,NASDAQ,28,$120.90,$348.06,2903.31,9745.68,8358.38,5455.07,187.89,0.45,12.0,Buy,Direct Core AI,Gemini frontier AI models Google Cloud TPU v5/v6 silicon infrastructure and search dominance.
NET,Cloudflare Inc,Stock,Information Technology,NYSE,30,$64.86,$280.35,1668.93,8410.50,7213.27,5544.34,332.21,0.0,16.0,Keep,AI Infrastructure & Semis,Workers AI edge computing global low-latency CDN and zero-trust cybersecurity network.
TSM,Taiwan Semiconductor Mfg Co (ADR),Stock,Semiconductors,NYSE,20,$99.86,$410.12,1712.98,8202.40,7034.79,5321.81,310.68,1.1,14.0,Buy,AI Infrastructure & Semis,Critical global monopoly on advanced 3nm/2nm wafer fabrication powering all modern AI accelerators.
AMS:ASML,ASML Holding NV,Stock,Semiconductors,Euronext Amsterdam,4,623.80 €,1 512.60 €,2495.20,7054.58,6050.40,3555.20,142.48,0.9,13.5,Buy,AI Infrastructure & Semis,European semiconductor crown jewel. Sole supplier of Extreme Ultraviolet (EUV & High-NA EUV) lithography.
V,Visa Inc,Stock,Financials,NYSE,14,$187.50,$382.41,2251.35,5353.74,4591.64,2340.29,103.95,0.8,9.5,Keep,Diversifier,High margin payment tollbooth inflation hedge and consistent compounding dividend grower.
IBM,IBM Common Stock,Stock,Information Technology,NYSE,23,$124.40,$231.04,2453.89,5313.92,4557.48,2103.59,85.72,2.8,8.0,Keep,Direct Core AI,Watsonx enterprise hybrid cloud and AI consulting reliable defensive dividend payer.
AMAT,Applied Materials Inc,Stock,Semiconductors,NASDAQ,10,$100.05,$484.19,858.06,4841.90,4152.66,3294.60,383.96,0.8,14.0,Buy,AI Infrastructure & Semis,Essential wafer fab equipment (WFE) materials engineering for Gate-All-Around (GAA) chips.
NFLX,Netflix Inc,Stock,Communication Services,NASDAQ,60,$49.42,$80.01,2542.96,4800.60,4117.23,1574.27,61.91,0.0,10.0,Keep,Diversifier,Global streaming leader with strong free cash flow and AI recommendation algorithms.
JPM,JPMorgan Chase & Co,Stock,Financials,NYSE,12,$102.03,$356.39,1050.02,4276.68,3667.89,2617.87,249.32,2.1,8.5,Keep,Diversifier,Premier US banking institution with vast AI deployment across risk trading and fraud detection.
AMZN,Amazon.com Inc,Stock,Consumer Discretionary,NASDAQ,15,$152.86,$262.07,1966.51,3931.05,3371.47,1404.96,71.44,0.0,11.5,Keep,Direct Core AI,AWS cloud platform custom Bedrock AI Trainium/Inferentia silicon and retail automation.
BABA,Alibaba Group Holding Ltd - ADR,Stock,Consumer Discretionary,NYSE,30,$74.23,$118.47,1909.90,3554.10,3048.17,1138.27,59.60,1.8,7.0,Keep,Diversifier,Deep value Chinese e-commerce and AliCloud AI model provider (Qwen series).
FSLR,First Solar Inc,Stock,Energy,NASDAQ,17,$68.34,$208.31,996.36,3541.27,3037.17,2040.81,204.83,0.0,11.0,Keep,Energy / Power Grid,Utility-scale thin-film solar manufacturer benefiting from massive AI datacenter clean energy demand.
VZ,Verizon Communications Inc,Stock,Communication Services,NYSE,70,$52.13,$50.15,3129.78,3510.50,3010.78,-119.00,-3.80,6.6,4.0,Sell,Defensive / Cash,Recommendation: SELL. High capital intensity low growth and 28% Portuguese tax drag on high dividend yields.
QCOM,Qualcomm Inc,Stock,Semiconductors,NASDAQ,22,$95.84,$158.53,1808.28,3487.66,2991.19,1182.91,65.42,2.0,11.0,Keep,AI Infrastructure & Semis,Snapdragon X Elite on-device NPU processors powering the next generation of AI PCs and edge devices.
IRM,Iron Mountain Inc,Stock,Real Estate,NYSE,25,$71.33,$121.19,1529.41,3029.75,2598.47,1069.06,69.90,2.9,9.0,Keep,AI Infrastructure & Semis,Transitioning from legacy record storage into high-demand colocation and AI datacenter real estate.
ISRG,Intuitive Surgical Inc,Stock,Healthcare,NASDAQ,7,$440.54,$373.57,2644.82,2614.99,2242.75,-402.07,-15.20,0.0,13.0,Buy,Direct Core AI,Opportunity on pullback. Da Vinci robotic surgical systems incorporating AI computer vision and predictive analytics.
CCJ,Cameco Corp,Stock,Energy,NYSE,24,$104.88,$102.27,2158.70,2454.48,2105.08,-53.62,-2.48,0.4,15.0,Buy,Energy / Power Grid,Top tier uranium producer. Nuclear power renaissance driven by 24/7 baseload power contracts for AI datacenters.
SOFI,SoFi Technologies Inc,Stock,Financials,NASDAQ,126,$8.35,$18.24,902.34,2298.24,1971.09,1068.75,118.44,0.0,12.0,Keep,Diversifier,Digital banking growth platform benefiting from Galileo tech stack and member loan diversification.
INTC,Intel Corp,Stock,Semiconductors,NASDAQ,25,$42.59,$87.26,913.26,2181.50,1870.96,957.70,104.87,1.2,8.0,Keep,AI Infrastructure & Semis,Turnaround story with Intel Foundry Services and 18A process node scaling. Low position size appropriate.
DLR,Digital Realty Trust Inc,Stock,Real Estate,NYSE,9,$127.93,$188.55,987.47,1696.95,1455.39,467.92,47.39,3.1,10.0,Buy,AI Infrastructure & Semis,Premier hyperscale datacenter REIT. High-density liquid cooling infrastructure direct beneficiary of AI training.
ET,Energy Transfer LP Unit,Stock,Energy,NYSE,80,$16.68,$21.08,1144.10,1686.40,1446.34,302.24,26.42,7.8,7.0,Keep,Energy / Power Grid,Natural gas pipeline infrastructure supplying electricity generation plants for AI compute centers.
BEPC,Brookfield Renewable Corp,Stock,Energy,NYSE,50,$40.59,$32.88,1740.60,1644.00,1409.98,-330.62,-18.99,4.8,6.0,Sell,Energy / Power Grid,Recommendation: SELL. High capital costs and interest sensitivity; harvest tax losses in Portugal against realized gains.
NXE,NexGen Energy Ltd,Stock,Energy,NYSE,69,$10.49,$10.93,620.77,754.17,646.81,26.04,4.19,0.0,16.0,Buy,Energy / Power Grid,Rook I high-grade uranium deposit exploration in Athabasca basin. Asymmetric AI power theme play.
SPCX,Space Exploration Technologies Corp / Proxy,Stock,Aerospace,NASDAQ,5,$111.14,$135.00,476.59,675.00,578.91,102.32,21.47,0.0,14.0,Buy,Diversifier,Space & satellite broadband communication network theme. High growth niche.
